Sent for Payment Date,Approved Amount (rpt),Category Level 1
10/03/2019,"3,149.34","Travel, venue hire and exhibition services"
29/03/2019,"3,338.67",IT & Telecoms
28/03/2019,"3,363.59","Travel, venue hire and exhibition services"
27/03/2019,"3,372.67","Travel, venue hire and exhibition services"
21/03/2019,"3,648.60",Professional Services
27/03/2019,"3,720.00","Travel, venue hire and exhibition services"
21/03/2019,"3,750.92",Facilities
27/03/2019,"4,000.00",IT & Telecoms
25/03/2019,"4,241.50",Facilities
01/03/2019,"4,362.16","Travel, venue hire and exhibition services"
11/03/2019,"4,396.80","Travel, venue hire and exhibition services"
29/03/2019,"4,470.67",IT & Telecoms
27/03/2019,"4,500.00","Travel, venue hire and exhibition services"
25/03/2019,"5,414.10",Facilities
19/03/2019,"5,535.00","Travel, venue hire and exhibition services"
07/03/2019,"5,964.27",IT & Telecoms
07/03/2019,"8,361.56","Advertising, Marketing & Media"
19/03/2019,"9,717.97","Advertising, Marketing & Media"
29/03/2019,"17,752.19",IT & Telecoms
01/03/2019,"25,356.93",IT & Telecoms
29/03/2019,"26,951.12",IT & Telecoms
15/03/2019,"27,371.75",IT & Telecoms
01/03/2019,"53,728.60",IT & Telecoms
29/03/2019,"56,838.00",IT & Telecoms
15/03/2019,"59,793.51",IT & Telecoms
